abstract,plain language summary,generated_summary
"Budding yeast , undergoes polarized growth budding mating , useful model system study cell polarization . Bud sites selected differently haploid diploid yeast cells : haploid cells bud axial manner , diploid cells bud bipolar manner . previous studies focused molecular details bud site selection polarity establishment , known different budding patterns rise different functions population level . paper , develop - dimensional agent - based model study budding yeast colonies cell - type specific biological processes , budding , mating , mating type switch , consumption nutrients , cell death . model demonstrates axial budding pattern enhances mating probability early stage bipolar budding pattern improves colony development nutrient limitation . results suggest frequency mating type switch control trade - diploidization inbreeding . effect cellular aging studied model . Based simulations , colonies initiated aged haploid cell declined mating probability early stage recover rejuvenated offsprings majority . Colonies initiated aged diploid cells disadvantage colony expansion possibly fact young cells contribute colony expansion .","Budding yeast is a model organism in understanding fundamental aspects of eukaryotic cells, such as cell polarization and cell aging. Previously, extensive research has focused on the molecular mechanisms of biological processes in yeast, but many questions regarding yeast budding remain unsolved. For example, how do different budding patterns affect yeast colony growth? How does declined spatial order due to aging impact the colony at the population level? To address these questions, we developed a computational agent-based model, which incorporates key biological processes, the effect of aging, as well as cell-environment interaction. We performed and analyzed a large number of simulations for a variety of situations, and obtained insightful results. We found that axial budding pattern enhances the percentage of diploid cells at early stage and bipolar budding pattern improves colony development under nutrient limitation; the frequency of mating type switch might control the trade-off between diploidization and inbreeding; aging affects the percentage of diploid cells in colonies initiated by a single haploid cell, but does not have much influence in the expansion of colonies initiated by diploid cells. The framework of the model can be extended to study other important systems, such as tissue with stem cell lineage.","Budding yeast undergoes polarized growth during budding and mating, a useful model system to study cell polarization. Bud sites are selected differently from haploid and diploid yeast cells: haploid cells bud in an axial manner, diploids in a bud bipolar manner. While previous studies have focused on molecular details of bud site selection and polarity establishment, it is known that different budding patterns rise in different functions at the population level. In this paper, we develop a three-dimensional agent-based model to study budding yeast colonies in cell-type specific biological processes, budding, mating, mating type switch, consumption of nutrients, and cell death. Our model demonstrates that the axial budding pattern enhances mating probability at the early stage of the bipolar budding pattern and improves colony development and nutrient limitation. Our results suggest that the frequency of mating type change and the timing of the trade-off between inbreeding and inbreeding may control cell aging."
"established disability - adjusted life year ( DALY ) metric measuring burden human disease injury globally . , DALY estimates calculated national totals . mapped spatial variation burden human African trypanosomiasis ( HAT ) Uganda years 2000–2009 . represents geographically delimited estimation HAT disease burden sub - country scale . Disability - adjusted life - year ( DALY ) totals HAT estimated based modelled age mortality distributions , mapped Geographic Information Systems ( GIS ) software , summarised parish district . national total burden HAT low relative conditions , high - impact districts Uganda DALY rates comparable national burden rates major infectious diseases . calculated average national DALY rate 2000–2009 486.3 DALYs/100 000 persons / year , districts afflicted rhodesiense HAT southeastern Uganda burden rates 5000 DALYs/100 000 persons / year , comparable national GBD 2004 average burden rates malaria HIV / AIDS.These results provide updated improved estimates HAT burden Uganda , taking account sensitivity - reporting . results highlight critical importance spatial scale disease burden analyses . National aggregations disease burden resulted implied bias highly focal diseases geographically targeted interventions feasible cost - effective . significant implications use DALY estimates prioritize disease interventions inform cost - benefit analyses .","Since the 1990s the World Health Organisation has established the disability-adjusted life year (DALY) as a metric for the burden of human disease and injury. However, disease burden has primarily been estimated at the national scale, which does not account for sub-country variations in burden levels. We used the case of human African trypanosomiasis (HAT), a highly focal NTD, in Uganda to calculate and map burden in DALYs. Our results show that HAT burden is highly sensitive to under-reporting estimates, and is particularly high in heavily affected parishes and districts of Uganda. Some districts in southeastern Uganda had HAT burden rates comparable to the national burden rates of major infectious diseases such as malaria and HIV/AIDS. Thus, the spatial scale of burden estimation is crucial, especially for focal diseases such as HAT, and national-level estimates may not reflect the level of impact in afflicted communities. We recommend sub-country burden estimation to identify key areas for prioritization of disease surveillance and targeted interventions.","Human African trypanosomiasis (HAT) is one of the most common infectious diseases in the world. The prevalence of HAT in Uganda is estimated based on age and mortality distributions, mapped by Geographic Information Systems (GIS) software, and summarised in a parish district in Uganda. The national total burden for HAT is low relative to the national burden rates for major infectious diseases. The DALY estimates are calculated using national totals. We mapped the spatial variation of the burden of human African Trypanosoma in Uganda over the years 2000–2009. We calculated the average national DALYL rate for 2000–09 at 486.3 DALYAs/100 000 persons/year, with districts afflicted by rhodesiense HAT and southeastern Uganda burden rates of 5000 DALAYs/1000 persons/per year, comparable to national GBD 2004 average burden rates and malaria and HIV/AIDS. These results provide updated improved estimates of the HAT burden in Uganda, taking account of sensitivity-reporting and reporting."
"Africa , relapsing fever borreliae neglected vector - borne pathogens cause mild deadly septicemia miscarriage . Screening vectors presence borreliae currently requires technically demanding , time- resource - consuming molecular methods . Matrix - assisted laser desorption / ionization time - - flight mass spectrometry ( MALDI - TOF - MS ) recently emerged tool rapid identification vectors identification cultured borreliae . investigated MALDI - TOF - MS detect relapsing fever borreliae directly ticks . step , Borrelia MALDI - TOF - MS database created house newly determined Mean Spectrum Projections Lyme disease group relapsing fever group reference borreliae . MALDI - TOF - MS yielded unique protein profile 14 tested Borrelia species , 100 % reproducibility 12 repeats . second proof - - concept step , Borrelia database custom software program subtracts uninfected O. sonrai profile detect Borrelia crocidurae 20 Ornithodoros sonrai ticks , including ticks tested positive B. crocidurae PCR - sequencing . B. crocidurae - specific pattern consisting 3405 , 5071 , 5898 , 7041 , 8580 9757 - m / z peaks found B. crocidurae - infected ticks found un - infected ticks . final blind validation step , MALDI - TOF - MS exhibited 88.9 % sensitivity 93.75 % specificity detection B. crocidurae 50 O. sonrai ticks , including 18 tested positive B. crocidurae PCR - sequencing . MALDI - TOF - MS took 45 minutes completed . development appropriate database , MALDI - TOF - MS identify tick species presence relapsing fever borreliae single assay . work paves way use MALDI - TOF - MS dual identification vectors vectorized pathogens .","In Africa, relapsing fever borreliae are neglected vector-borne infections that cause mild to deadly septicemia and miscarriage. The causative relapsing fever borreliae are transmitted by the bite of soft ticks, except for Borrelia recurrentis which is transmitted by body lice. Screening vectors for these relapsing fever borreliae currently relies on time- and resource-consuming methods such as polymerase chain reaction-based method. Here, we applied matrix-assisted laser desorption/ionization time-of-flight mass spectrometry (MALDI-TOF-MS) to the rapid detection of borreliae in ticks. As a first step, we created a Borrelia MALDI-TOF-MS database and we detected B. crocidurae in Ornithodoros sonrai ticks. As a blind validation step, the 45-minute MALDI-TOF-MS exhibited a 88.9% sensitivity and a 93.75% specificity for the detection of B. crocidurae in 50 O. sonrai ticks including 18 ticks detected positive for B. crocidurae by PCR-sequencing. These findings provide the proof-of-concept that MALDI-TOF-MS can be used to identify tick species and the presence of relapsing fever borreliae. This technique could be translated for field applications.","Relapsing fever borreliae is a neglected vector-borne pathogen that can cause mild and deadly septicemia and miscarriage. Screening for the presence of B. crocidurae currently requires technically demanding, time-consuming, and resource-consuming molecular methods. Matrix-assisted laser desorption/ ionization time-of-flight mass spectrometry (MALDI-TOF-MS) has recently emerged as a new tool for rapid identification of vectors of Borrelia. In this work, we investigated the feasibility of using the Borrelia MALDI to detect relapsing Fever borriae directly from ticks. The first step was to create a database of the newly determined Mean Spectrum Projections of Lyme disease group and relapsesing fever group reference borliae. MALSDI- TOF- MS yielded a unique protein profile of 14 tested Borreliae species, 100% reproducibility and 12 repeats. The second step, a custom software program, subtracts uninfected O. sonrai profile from the O. tick profile to detect Borreliosis crocidsurae from 20 Ornithodoros sonrais ticks, including 18 ticks tested positive for B.crocidura PCR-sequencing. The results of this study demonstrate that MALD-TOFs-MS can be used to identify tick species that are likely to be involved in the detection of borros."
"Host control influenza virus ( IAV ) associated exuberant pulmonary inflammation characterized influx myeloid cells production proinflammatory cytokines including interferons ( IFNs ) . unclear , , immune system clears virus causing lethal immunopathology . , demonstrate addition known anti - viral activity , STAT1 signaling coordinates host inflammation IAV infection mice . regulatory mechanism dependent type IFN IFN - γ receptor signaling , importantly , requires functional interplay pathways . protective function type IFNs associated recruitment classical inflammatory Ly6Chi monocytes IAV - infected lungs , prevention excessive monocyte activation IFN - γ . Unexpectedly , type IFNs preferentially regulate IFN - γ signaling Ly6Clo inflammatory Ly6Chi mononuclear cell populations . absence type IFN signaling , Ly6Clo monocytes / macrophages , phenotypically functionally proinflammatory Ly6Chi cells , revealing unanticipated function Ly6Clo mononuclear cell subset tissue inflammation . addition , type IFNs employ distinct mechanisms regulate monocyte neutrophil trafficking . Type IFN signaling necessary , sufficient , preventing neutrophil recruitment lungs IAV - infected mice . Instead , cooperation type IFNs lymphocyte - produced IFN - γ required regulate tissue neutrophilic response IAV . study demonstrates IFN interplay links innate adaptive anti - viral immunity orchestrate tissue inflammation reveals additional level complexity IFN - dependent regulatory mechanisms function prevent excessive immunopathology preserving anti - microbial functions .","Influenza A virus (IAV) is a leading cause of respiratory infection and induces a strong acute inflammation manifested by the recruitment of monocytes and neutrophils as well as the production of proinflammatory cytokines in infected lungs. The interferons (IFNs) are strongly induced by IAV and are known to mediate host resistance to the infection. However, in contrast to their well-studied inhibitory effect on viral replication, the effects of IFNs on host inflammatory responses are less well understood. In this manuscript, we demonstrate that anti-viral IFN signaling is also required for the orchestration of a tissue response associated with the protection against IAV infection in mice. Importantly, we identify that type I IFNs cross-regulate and cooperate with IFN-γ to inhibit monocyte activation and neutrophil infiltration, respectively. This study also demonstrates that Ly6Clo monocytes/macrophages can potentially mediate influenza virus-induced inflammation, suggesting that IFNs dictate the homeostasis versus inflammatory function of mononuclear phagocytes in viral infection. Our study reveals a novel IFN-dependent regulatory mechanism designed to prevent the excessive immunopathology while preserving its anti-microbial functions. Moreover, these observations have particular relevance for understanding the mechanisms underlying the strong inflammatory response associated with lethal IAV strains and have implications for the development of new immunotherapies to treat influenza.","Host control of influenza virus (IAV) is associated with exuberant pulmonary inflammation characterized by the influx of myeloid cells and the production of proinflammatory cytokines including interferons (IFNs). However, it is unclear how the immune system clears the virus causing lethal immunopathology. Here, we demonstrate that IFN signaling coordinates host inflammation in IAV-infected mice. This regulatory mechanism is dependent on type IFN IFN-γ receptor signaling, and importantly, requires functional interplay pathways. We show that type IFNs preferentially regulate the recruitment of classical inflammatory Ly6Chi monocytes to IAV infected lungs, and that this cooperation is sufficient for preventing neutrophil recruitment into lungs of IAV infection-infecting mice. However, the cooperation between type and ILN signaling is required for the tissue neutrophilic response. This study demonstrates the complexity of IFN interplay and links innate adaptive anti-viral immunity to orchestrate tissue inflammation."
"MicroRNAs short , noncoding RNAs play important roles post - transcriptional gene regulation . functions microRNAs plants animals revealed recent years , transcriptional mechanism microRNA genes - understood . elucidate transcriptional regulation microRNA genes , study characterize , genome scale , promoters intergenic microRNA genes Caenorhabditis elegans , Homo sapiens , Arabidopsis thaliana , Oryza sativa . known microRNA genes species type promoters protein - coding genes . characterize promoters microRNA genes , developed novel promoter prediction method , called common query voting ( CoVote ) , effective available promoter prediction methods . new method , identify putative core promoters known microRNA genes model species . , characterize promoters microRNA genes species . discover significant , characteristic sequence motifs core promoters , match resemble known cis - acting elements transcription initiation . motifs , conserved different species specific microRNA genes individual species .","MicroRNAs are a class of short RNA sequences that have many regulatory functions in complex organisms such as plants and animals. However, our knowledge of the transcriptional mechanisms of microRNA genes is limited. Here, we analyze the upstream sequences of known microRNA genes in four model species, i.e., C. elegans, H. sapiens, A. thaliana, and O. sativa, and compare them with the promoter sequences of protein-coding genes and other classes of RNA genes. This analysis provides genome-wide evidence that microRNA genes have the same type of promoter sequences as protein-coding genes, and therefore are likely transcribed by RNA polymerase II (pol II). Second, we present a novel computational method for promoter prediction, which is then applied to locate the core promoters of known microRNA genes in the four model species. Furthermore, we present an analysis of short DNA motifs that appear frequently in the predicted promoters of microRNA genes, and report several interesting motifs that may have some functional meanings. These results are important for understanding the initiation and regulation of microRNA gene transcription.","MicroRNAs are short, noncoding RNAs that play important roles in post-transcriptional gene regulation. Although the functions of microRNAs in plants and animals have been revealed in recent years, the transcriptional mechanism of microRNA genes is still poorly understood. To elucidate the regulation of these genes, we have developed a novel promoter prediction method, called common query voting (CoVote), to identify the putative core promoters of known microRNA gene model species. Using this method, we identify putative promoter motifs of the promoters of the genes in the model species and characterize the sequence of these motifs. We discover significant, characteristic sequence motifs in the core promoters, which match closely with known cis-acting elements of transcription initiation. These motifs are conserved in different species specific microRNA and individual species."
"frequently documented copy number variations associated autism spectrum disorder ( ASD ) 1q21.1 duplication encompasses sequences encoding DUF1220 protein domains , dosage previously implicated increased human brain size . , individuals ASD frequently display accelerated brain growth larger brain size associated increased symptom severity . Given findings , investigated relationship DUF1220 copy number ASD severity , individuals ASD ( n   =   170 ) , copy number ( dosage ) DUF1220 subtype CON1 highly variable , ranging 56 88 copies following Gaussian distribution . remarkably , individuals ASD CON1 copy number linearly associated , dose - response manner , increased severity primary symptoms ASD : social deficits ( p   =   0.021 ) , communicative impairments ( p   =   0.030 ) , repetitive behaviors ( p   =   0.047 ) . data indicate DUF1220 protein domain ( CON1 ) dosage ASD - wide effect , , likely key component major pathway underlying ASD severity . Finally , findings , implicating dosage previously unexamined , copy number polymorphic brain evolution - related gene coding sequence ASD severity , provide important new direction research genetic factors underlying ASD .","Autism Spectrum Disorder (ASD) is a common behaviorally defined condition noted by impairments in social reciprocity and communicative abilities and exaggerated repetitive behaviors and stereotyped interests. Individuals with ASD frequently have a larger and more rapidly growing brain than their typically developing peers. Given the widely documented heritability suggesting that ASD is predominantly a genetic condition and the well-established link between ASD and abnormal brain growth patterns, genes involved in brain growth would be excellent candidates to study regarding ASD. One such candidate is DUF1220, a highly copy number polymorphic protein domain that we have previously linked to brain evolution and brain size. However, due to the extreme copy number variability of DUF1220, it has not been directly investigated in previous genome wide polymorphism studies searching for genes important in ASD. Here we show that, in individuals with ASD, 1) DUF1220 subtype CON1 is highly variable, ranging from 56 to 88 copies, and 2) the copy number of CON1 is associated, in a linear dose-response manner, with increased severity of each of the three primary symptoms of ASD: as CON1 copy number increases each of the three primary symptoms of ASD (impaired social reciprocity, impaired communicative ability and increased repetitive behaviors) become incrementally worse.","Autism spectrum disorder (ASD) is the most common neurodegenerative disorder in the world. It is caused by mutations in the DUF1220 protein domain (CON1) that are associated with increased brain size. In this study, we investigated the relationship between the copy number (dose) and the severity of ASD. We found that individuals with ASD CON1 copy number were linearly associated with a dose-response manner, with increased severity of primary symptoms of ASD: social deficits (p = 0.021), communicative impairments, repetitive behaviors, and repetitive behaviors. Our data indicate that the dosage of a DUF 1220 subtype of CON1 is an ASD-wide effect, likely a key component of the major pathway underlying ASD severity. Finally, our findings, implicating a dosage previously unexamined, suggest that the copynumber polymorphic in brain evolution-related gene coding sequence may be a major component of ASD severity, and provide an important new direction for research on genetic factors underlying ASD."
"Strains Saccharomyces cerevisiae beer , bread , wine genetically phenotypically distinct wild populations associated trees . origins domesticated populations clear ; human - associated migration admixture wild populations strong impact S. cerevisiae population structure . examined population genetic history beer strains found ale strains S. cerevisiae portion allotetraploid lager strains derived admixture populations closely related European grape wine strains Asian rice wine strains . Similar lager baking strains , ale strains polyploid , providing passive means remaining isolated populations providing living relic ancestral hybridization . reconstruct polyploid origin , phased genomes ale strains found ale haplotypes recombinants European Asian alleles contain novel alleles derived extinct uncharacterized populations . conclude modern beer strains product historical melting pot fermentation technology .","The budding yeast Saccharomyces cerevisiae has long been used to make beer. Yeast strains used to make ales are known to differ genetically and phenotypically from strains used to make wine and from strains isolated from nature, such as oak isolates. Beer strains are also known to be polyploid, having more than two copies of their genome per cell. To determine the ancestry of beer strains, we compared the genomes of beer strains with the genomes of a large collection of strains isolated from diverse sources and geographic locations. We found ale, baking, and the S. cerevisiae portion of lager strains to have ancestry that is a mixture of European grape wine strains and Asian rice wine strains and that they carry novel alleles from an extinct or uncharacterized population. The mixed ancestry of beer strains has been maintained in a polyploid state, which provided a means of strain diversification through gain or loss of genetic variation within a strain but also a means of maintaining brewing characteristics by reducing or eliminating genetic exchange with other strains. Our results show that ale strains emerged from a mixture of previously used fermentation technology.","The yeast Saccharomyces cerevisiae is responsible for the production of beer, bread, wine, and other food products. It was domesticated from wild populations associated with trees. The origins of these domesticated populations are not clear; human-associated migration and admixture of wild populations had a strong impact on S. cerevisia population structure. We examined the population genetic history of beer strains found in ale strains and lager strains derived from admixture populations with closely related European grape wine strains and Asian rice wine strains. Similar to lager baking strains, ale strains are polyploid, providing a passive means of remaining isolated from populations providing a living relic of ancestral hybridization. We also found that ale strains contain novel alleles derived from extinct and uncharacterized populations. We conclude that modern beer strains are product of historical melting pot fermentation technology."
"Understanding naturally acquired immune responses Plasmodium India key improving malaria surveillance diagnostic tools . describe serological profiling immune responses sites India probing protein microarrays consisting 515 Plasmodium vivax 500 Plasmodium falciparum proteins 353 plasma samples . total 236 malaria - positive ( symptomatic asymptomatic ) plasma samples 117 malaria - negative samples collected field sites Raurkela , Nadiad , Chennai . Indian samples showed significant seroreactivity 265 P. vivax 373 P. falciparum antigens , overall seroreactivity P. vivax antigens lower compared P. falciparum antigens . identified immunogenic antigens Plasmodium species recognized sites India , P. falciparum antigens associated asymptomatic malaria . genome - scale analysis serological responses major species malaria parasite India . range immune responses characterized different endemic settings argues targeted surveillance approaches tailored diverse epidemiology malaria world .","Although malaria deaths have fallen by 60% worldwide since 2000, the disease remains a significant public health problem. India has the highest burden of malaria in the South-East Asia Region, where Plasmodium vivax and Plasmodium falciparum are its main causes. While the two major malaria parasite species co-occur in India, their proportion varies across the country. Antibodies in an individual indicate current or past Plasmodium infection, and can be used to identify suitable vaccine candidates, as well as develop novel tools for malaria surveillance. We present the results of a pilot study undertaking the first large-scale characterization of antibody responses to ~1000 Plasmodium antigens at three field sites in India using high-throughput protein microarray technology. Individuals from the eco-epidemiologically diverse sites showed reactivity to 265 P. vivax and 373 P. falciparum antigens, regardless of infection status. Further comparison of individuals with symptomatic and asymptomatic malaria revealed the most immunogenic Plasmodium antigens, as well as antigens that were recognized with greater intensity in individuals that were asymptomatic at the point of sample collection. These results are a valuable addition to existing data from other malaria endemic regions, and will help to expand our understanding of host immunity against the disease.","Malaria is a neglected tropical disease caused by Plasmodium falciparum, the causative agent of malaria in India. In this study, we describe the serological profiling of immune responses at malaria sites in India probing protein microarrays consisting of 515 and 500 of these proteins and 353 plasma samples. A total of 236 malaria-positive ( symptomatic and asymptomatic) and 117 malaria-negative samples were collected from field sites in Raurkela, Nadiad, Chennai. Indian samples showed significant seroreactivity of 265 and 373 P. vivax and P. falcaparum antigens, respectively. Overall, the overall levels of the immune responses were lower than those of the other two species of malaria parasite. We also identified the immunogenic and non-pathogenic antigen of the two major PlASmodium species recognized in India, which are associated with both symptomatic malaria and malaria. Our results suggest that targeted surveillance approaches tailored to diverse epidemiology of malaria are tailored to the malaria world."
"Aphids important agricultural pests biological models studies insect - plant interactions , symbiosis , virus vectoring , developmental causes extreme phenotypic plasticity . present 464 Mb draft genome assembly pea aphid Acyrthosiphon pisum . published genome sequence basal hemimetabolous insect provides outgroup multiple published genomes holometabolous insects . Pea aphids host - plant specialists , reproduce sexually asexually , coevolved obligate bacterial symbiont . highlight findings genome analysis related unusual biological features . findings include discovery extensive gene duplication 2000 gene families loss evolutionarily conserved genes . Gene family expansions relative published genomes include genes involved chromatin modification , miRNA synthesis , sugar transport . Gene losses include genes central IMD immune pathway , selenoprotein utilization , purine salvage , entire urea cycle . pea aphid genome reveals limited number genes acquired bacteria ; reduced gene count Buchnera reflect gene transfer host genome . inventory metabolic genes pea aphid genome suggests extensive metabolite exchange aphid Buchnera , including sharing amino acid biosynthesis aphid Buchnera . pea aphid genome provides foundation post - genomic studies fundamental biological questions applied agricultural problems .","Aphids are common pests of crops and ornamental plants. Facilitated by their ancient association with intracellular symbiotic bacteria that synthesize essential amino acids, aphids feed on phloem (sap). Exploitation of a diversity of long-lived woody and short-lived herbaceous hosts by many aphid species is a result of specializations that allow aphids to discover and exploit suitable host plants. Such specializations include production by a single genotype of multiple alternative phenotypes including asexual, sexual, winged, and unwinged forms. We have generated a draft genome sequence of the pea aphid, an aphid that is a model for the study of symbiosis, development, and host plant specialization. Some of the many highlights of our genome analysis include an expanded total gene set with remarkable levels of gene duplication, as well as aphid-lineage-specific gene losses. We find that the pea aphid genome contains all genes required for epigenetic regulation by methylation, that genes encoding the synthesis of a number of essential amino acids are distributed between the genomes of the pea aphid and its symbiont, Buchnera aphidicola, and that many genes encoding immune system components are absent. These genome data will form the basis for future aphid research and have already underpinned a variety of genome-wide approaches to understanding aphid biology.","Aphids are important agricultural pests and biological models for studies of insect-plant interactions, symbiosis, virus vectoring, and developmental causes of extreme phenotypic plasticity. We present a 464 Mb draft genome assembly of the pea aphid Acyrthosiphon pisum. The genome sequence of the basal hemimetabolous insect provides an outgroup of multiple published genomes of holometabolous insects. Pea aphids are host-plant specialists, reproduce sexually asexually, coevolved with an obligate bacterial symbiont. We highlight the findings of genome analysis related to unusual biological features. Gene family expansions relative to published genomes include genes involved in chromatin modification, miRNA synthesis, and sugar transport. Gene losses include genes in the central IMD immune pathway, selenoprotein utilization, purine salvage, and the entire urea cycle. Our analysis of the genome reveals a limited number of genes acquired from bacteria; reduced gene count in Buchnera reflect gene transfer from the host to the host genome. Our findings suggest extensive metabolite exchange between the aphid and the bacterium, including sharing amino acid biosynthesis and aphid metabolism. These findings provide a foundation for post-genomic studies of fundamental biological questions applied to agricultural problems."
"Higher plants exhibit variety different life histories . Annual plants live year flowering produce seeds senesce . contrast perennials live years , dividing life cycle episodes vegetative growth flowering . Environmental cues control key check points life histories . Genes controlling responses cues exhibit natural genetic variation studied short - lived annuals . characterize natural genetic variation conferring differences perennial life cycle Arabis alpina . Previously accession Pajares shown flower prolonged exposure cold ( vernalization ) limited period returning vegetative growth . describe accessions A. alpina require vernalization flower flower continuously . Genetic complementation showed accessions carry mutant alleles PERPETUAL FLOWERING 1 ( PEP1 ) , encodes MADS box transcription factor orthologous FLOWERING LOCUS C annual Arabidopsis thaliana . accession carries different mutation PEP1 , suggesting variation arisen independently times . Characterization alleles demonstrated accessions , including Pajares , PEP1 locus contains tandem arrangement length partial PEP1 copy , rise - length transcripts differentially expressed . complexity contrasts single gene present A. thaliana contribute complex expression pattern PEP1 associated perennial life - cycle . work demonstrates natural accessions A. alpina exhibit distinct life histories conferred differences PEP1 activity , continuous flowering forms arisen multiple times inactivation floral repressor PEP1 . Similar phenotypic variation found herbaceous perennial species , results provide paradigm characteristic perennial phenotypes arise .","Perennial plants live for many years and cycle between flowering and vegetative growth. These stages of the life cycle are often initiated by environmental conditions and occur seasonally. However, many herbaceous perennial species such as strawberry, rose, or Arabis alpina contain varieties that flower continuously irrespective of the seasons. Here we characterize this genetic variation in A. alpina and show that five continuously flowering accessions carry independent mutations in the PERPETUAL FLOWERING 1 (PEP1) gene. These mutations impair the activity of the PEP1 floral repressor causing the plants to flower without requirement for winter cold and to flower continuously. This result has interesting parallels with strawberry and rose, where inactivation of a different floral repressor controlling response to day length gives rise to naturally occurring perpetual flowering forms. We also show that PEP1 in A. alpina has a complex duplicated structure that gives rise to two overlapping transcripts. This arrangement differs from the simple structure of PEP1 orthologues in related annual species, such as FLC of Arabidopsis thaliana, suggesting that duplication of PEP1 might contribute to the complex transcriptional patterns associated with PEP1 function in perennials. Our work provides insight into genetic variation contributing to the perennial life history of plants.","Many plants exhibit a variety of different life histories. For example, annual plants live a year flowering and produce seeds that are senesce. In contrast, perennials live two years, dividing life cycle episodes between vegetative growth and flowering. Environmental cues control key check points in the life histories of annuals. Genes controlling responses to environmental cues exhibit natural genetic variation. Here, we characterize the genetic variation conferring differences in the perennial life cycle of Arabis alpina. Previously, we show that accessions to Pajares require a prolonged exposure to cold (ivernalization) and a limited period of returning to growth. Genetic complementation showed that these accessions carry mutant alleles of PERPETUAL FLOWERING 1 (PEP1), which encodes the MADS box transcription factor orthologous to the FLOWERing LOCUS C in annual Arabidopsis thaliana. We also show that the PEP1 locus contains a tandem arrangement of length and partial PEP 1 copy, and rise-length transcripts are differentially expressed. These results provide a paradigm for how perennial phenotypes arise."
"enzyme activities catalysed flavivirus non - structural protein 3 ( NS3 ) essential virus replication . distributed N - terminal protease domain - C - terminal ATPase / helicase nucleoside 5′ triphosphatase domain forms remainder 618 - aa long protein . study , dengue - length NS3 protein residues 49 66 NS2B covalently attached flexible linker , bait biopanning naïve human Fab phage - display library . range truncated constructs spanning NS2B cofactor region - length NS3 , 10 unique Fab identified characterized . , monoclonal Fab 3F8 shown bind residues 526 531 subdomain III helicase domain . antibody inhibits ATPase helicase activites NS3 biochemical assays reduces DENV replication HEK293 cells previously transfected Fab 3F8 compared mock transfected cells . Antibodies 3F8 valuable tools studying molecular mechanisms flaviviral replication monospecific detection replicating dengue virus vivo .","Dengue virus is the most prevalent mosquito transmitted infectious disease in humans and is responsible for febrile disease such as dengue fever, dengue hemorrhagic fever and dengue shock syndrome. Dengue non-structural protein 3 (NS3) is an essential, multifunctional, viral enzyme with two distinct domains; a protease domain required for processing of the viral polyprotein, and a helicase domain required for replication of the viral genome. In this study ten unique human antibody fragments (Fab) that specifically bind dengue NS3 were isolated from a diverse library of Fab clones using phage display technology. The binding site of one of these antibodies, Fab 3F8, has been precisely mapped to the third α-helix within subdomain III of the helicase domain (amino acids 526–531). The antibody inhibits the helicase activity of NS3 in biochemical assays and reduces DENV replication in human embryonic kidney cells. The antibody is a valuable tool for studying dengue replication mechanisms.","The flavivirus non-structural protein 3 (NS3) is essential for virus replication. NS3 is distributed in the N-terminal protease domain and the C-terminus of the ATPase/ helicase nucleoside 5′ triphosphatase domain forms the remainder of the 618-aa long protein. In this study, we show that dengue-length NS3 protein residues 49 66 NS2B covalently attached to a flexible linker, bait biopanning naïve human Fab phage-display library. A range of truncated constructs spanning NS3 cofactor region-length and NS3, 10 unique Fab have been characterized. In addition, monoclonal Fab 3F8 was shown to bind to residues 526 and 531 of the subdomain III helicase domain. This antibody inhibits ATPase and helicase activites of NS3 in HEK293 cells that were previously transfected with Fab3F8 compared to mock cells. Antibodies against NS3 are valuable tools for studying the molecular mechanisms of flaviviral replication and monospecific detection in vivo."
"Variation gut microbiome linked colorectal cancer ( CRC ) , host genetic variation . , know , addition baseline host genetics , somatic mutational profiles CRC tumors interact surrounding tumor microbiome , , changes understand microbe - host interactions potential functional biological relevance . , characterized association CRC microbial communities tumor mutations microbiome profiling - exome sequencing 44 pairs tumors matched normal tissues . found statistically significant associations loss - - function mutations tumor genes shifts abundances specific sets bacterial taxa , suggestive potential functional interaction . correlation allows statistically predict interactions loss - - function tumor mutations cancer - related genes pathways , including MAPK Wnt signaling , solely based composition microbiome . conclusion , study shows CRC microbiomes correlated tumor mutational profiles , pointing possible mechanisms molecular interaction .","Although the gut microbiome—the collection of microorganisms that inhabit our gastrointestinal tract—has been implicated in colorectal cancer, colorectal tumors are caused by genetic mutations in host DNA. Here, we explored whether various mutations in colorectal tumors are correlated with specific changes in the bacterial communities that live in and on these tumors. We find that the genes and biological pathways that are mutated in tumors are correlated with variation in the composition of the microbiome. This study provides a step towards understanding interactions between tumor genes and the microbiome in colorectal cancer.","Colorectal cancer (CRC) is a leading cause of morbidity and mortality in the United States. The disease is caused by mutations in the gut microbiome, which are associated with a variety of cancer-related genes, including MAPK and Wnt signaling. However, it is not clear how these mutations interact with the surrounding tumor microbiome. Here, we characterized the association between CRC microbial communities and tumor mutations using microbiome profiling-exome sequencing of 44 pairs of tumors matched to normal tissues. We found statistically significant associations between loss-of-function mutations in tumor genes and shifts in abundances of specific sets of bacterial taxa, suggestive of a functional interaction. This correlation allows us to statistically predict the interactions between loss and-function tumor mutations and cancer-associated genes and pathways. We also show that CRC microbiomes correlated with tumor mutational profiles, pointing to possible mechanisms of molecular interaction."
